algorithm,dataset,time
lzma,AllHDFS_tail_0.10,620.51942
gzip,AllHDFS_tail_0.10,50.99524
bz2,AllHDFS_tail_0.10,224.673
7zip,AllHDFS_tail_0.10,274.26456
zip,AllHDFS_tail_0.10,136.94004
lzma,AllLinux_tail_0.10,0.79115
gzip,AllLinux_tail_0.10,0.13771
bz2,AllLinux_tail_0.10,0.28804
7zip,AllLinux_tail_0.10,0.34446
zip,AllLinux_tail_0.10,0.22082
lzma,AllZookeeper_tail_0.10,2.15042
gzip,AllZookeeper_tail_0.10,0.12107
bz2,AllZookeeper_tail_0.10,1.42873
7zip,AllZookeeper_tail_0.10,0.87004
zip,AllZookeeper_tail_0.10,0.58796
lzma,AllBGL_tail_0.10,111.04523
gzip,AllBGL_tail_0.10,13.68635
bz2,AllBGL_tail_0.10,52.40432
7zip,AllBGL_tail_0.10,34.38091
zip,AllBGL_tail_0.10,22.80415
lzma,AllProxifier_tail_0.10,0.66712
gzip,AllProxifier_tail_0.10,0.05974
bz2,AllProxifier_tail_0.10,0.33081
7zip,AllProxifier_tail_0.10,0.32806
zip,AllProxifier_tail_0.10,0.24416
lzma,AllHadoop_tail_0.10,7.79901
gzip,AllHadoop_tail_0.10,0.6806
bz2,AllHadoop_tail_0.10,4.30758
7zip,AllHadoop_tail_0.10,3.80699
zip,AllHadoop_tail_0.10,2.34003
