algorithm,dataset,all_time,one_log_time
LogSig_results,AllHDFS_0.10,--,--
LogSig_results,AllLinux_0.10,--,--
LogSig_results,AllZookeeper_0.10,--,--
LogSig_results,AllBGL_0.10,--,--
LogSig_results,AllProxifier_0.10,--,--
LogSig_results,AllHadoop_0.10,--,--
MoLFI_results,AllHDFS_0.10,--,--
MoLFI_results,AllLinux_0.10,--,--
MoLFI_results,AllZookeeper_0.10,--,--
MoLFI_results,AllBGL_0.10,--,--
MoLFI_results,AllProxifier_0.10,--,--
MoLFI_results,AllHadoop_0.10,--,--
IPLoM_results,AllHDFS_0.10,--,--
IPLoM_results,AllLinux_0.10,--,--
IPLoM_results,AllZookeeper_0.10,--,--
IPLoM_results,AllBGL_0.10,--,--
IPLoM_results,AllProxifier_0.10,--,--
IPLoM_results,AllHadoop_0.10,--,--
LKE_results,AllHDFS_0.10,--,--
LKE_results,AllLinux_0.10,--,--
LKE_results,AllZookeeper_0.10,--,--
LKE_results,AllBGL_0.10,--,--
LKE_results,AllProxifier_0.10,--,--
LKE_results,AllHadoop_0.10,--,--
Spell_results,AllHDFS_0.10,--,--
Spell_results,AllLinux_0.10,--,--
Spell_results,AllZookeeper_0.10,--,--
Spell_results,AllBGL_0.10,--,--
Spell_results,AllProxifier_0.10,--,--
Spell_results,AllHadoop_0.10,--,--
Drain_results,AllHDFS_0.10,--,--
Drain_results,AllLinux_0.10,--,--
Drain_results,AllZookeeper_0.10,--,--
Drain_results,AllBGL_0.10,--,--
Drain_results,AllProxifier_0.10,--,--
Drain_results,AllHadoop_0.10,--,--
FT_tree_results,AllHDFS_0.10,--,--
FT_tree_results,AllLinux_0.10,--,--
FT_tree_results,AllZookeeper_0.10,--,--
FT_tree_results,AllBGL_0.10,--,--
FT_tree_results,AllProxifier_0.10,--,--
FT_tree_results,AllHadoop_0.10,--,--
